fase;campeonato;copa;pista;bioma;ambiente;clima;horario;peculiaridade;traço dominante;compassos/sections;fingerprint
367;14;Autódromo Vulcão Antigo;Via Expressa Cascata Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;reta de recuperação;18;0ae5362eb8c2
368;14;Autódromo Vulcão Antigo;Travessia Neblina Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;saída de chicane;22;0aa4d9f54037
369;14;Autódromo Vulcão Antigo;Caminho Nômade Oeste;city;Porto neon;chuva;Noite;reta de pit longa;subida cega;21;4be2dee166b7
370;14;Autódromo Vulcão Antigo;Estrada Tempestade 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;saída de chicane;16;7f80df96eef2
371;14;Autódromo Vulcão Antigo;Via Expressa Falésia RX;grass;Floresta leve;neblina;Amanhecer;S técnico;subida cega;17;6cacbd4a3b4d
372;14;Autódromo Vulcão Antigo;Travessia Vector Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;entrada de chicane;18;317fea07a335
373;14;Autódromo Vulcão Antigo;Caminho Atlântico Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;esses de alta velocidade;20;066323dbbccd
374;14;Autódromo Vulcão Antigo;Estrada Mandacaru Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;entrada de chicane;20;a7bf9d6151ed
375;14;Autódromo Vulcão Antigo;Via Expressa Horizonte Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;entrada de chicane;16;4f4561e69c84
376;14;Autódromo Vulcão Antigo;Travessia Cobalto Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;entrada de chicane;17;233e408986d2
377;14;Autódromo Vulcão Antigo;Caminho Cascata Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;túnel escuro;19;d3765ead68bb
378;14;Autódromo Vulcão Antigo;Estrada Neblina GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;curva longa de alta;19;3afb93da9401
379;15;Torneio Baía dos Ventos;Rally Neon Mirror;city;Cidade neon;noite seca;Noite;chicane curta;esses de alta velocidade;23;b2167d902810
380;15;Torneio Baía dos Ventos;Sprint Esmeralda Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;entrada de chicane;16;043acc784795
381;15;Torneio Baía dos Ventos;Vale Monsoon Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;hairpin forte;17;2dc7e2ae0782
382;15;Torneio Baía dos Ventos;Rota Fênix Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;ponte estreita;20;3060263656e7
383;15;Torneio Baía dos Ventos;Rally Liberdade Leste;city;Porto neon;chuva;Noite;retomada após túnel;entrada de chicane;20;dee79afff271
384;15;Torneio Baía dos Ventos;Sprint Turbo Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;descida rápida;20;3d5d4251ae66
385;15;Torneio Baía dos Ventos;Vale Miragem GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;esses de alta velocidade;15;562a85dbcf66
386;15;Torneio Baía dos Ventos;Rota Pixel Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;curva longa de alta;17;22463f2d3f8c
387;15;Torneio Baía dos Ventos;Rally Eclipse Master;city;Cidade neon;noite seca;Noite;curva longa de alta;reta de recuperação;18;b1f1e0bda1f4
388;15;Torneio Baía dos Ventos;Sprint Lunar Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;esses de alta velocidade;19;392521340b1a
389;15;Torneio Baía dos Ventos;Vale Neon Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;subida cega;20;eb6d75e8cdba
390;15;Torneio Baía dos Ventos;Rota Esmeralda Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;esses de alta velocidade;15;b5e9a9cc04ce
391;15;Torneio Baía dos Ventos;Rally Monsoon Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;17;6e8bc81d0c85
392;15;Torneio Baía dos Ventos;Sprint Fênix Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;entrada de chicane;18;b0ca7f8803af
393;15;Torneio Baía dos Ventos;Vale Liberdade Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;hairpin forte;19;062fc05a39e8
394;15;Torneio Baía dos Ventos;Rota Turbo SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;entrada de chicane;20;5cae6359f611
395;15;Torneio Baía dos Ventos;Rally Miragem Arcade;city;Cidade neon;noite seca;Noite;sequência travada;reta de recuperação;16;c2e790e88333
396;15;Torneio Baía dos Ventos;Sprint Pixel Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;descida rápida;17;c26c477237bc
397;15;Torneio Baía dos Ventos;Vale Eclipse Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;esses de alta velocidade;18;6516fee3cbe0
398;15;Torneio Baía dos Ventos;Rota Lunar Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;saída de chicane;22;9bee6be1fa59
399;15;Torneio Baía dos Ventos;Rally Neon Oeste;city;Porto neon;chuva;Noite;reta de pit longa;entrada de chicane;21;82743417a830
400;15;Torneio Baía dos Ventos;Sprint Esmeralda 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;curva em caracol;16;e38e3925fc5c
401;15;Torneio Baía dos Ventos;Vale Monsoon RX;grass;Floresta leve;neblina;Amanhecer;S técnico;subida cega;17;4572cf3a9dd7
402;15;Torneio Baía dos Ventos;Rota Fênix Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;túnel escuro;18;66a18c40f051
403;15;Torneio Baía dos Ventos;Rally Liberdade Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;esses de alta velocidade;20;9ebe3621a495
404;15;Torneio Baía dos Ventos;Sprint Turbo Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;entrada de chicane;20;59183a87606f
405;15;Torneio Baía dos Ventos;Vale Miragem Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;saída de chicane;16;8ec869d62661
406;16;Copa Cidade Alta;Serpentina Ametista Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;entrada de chicane;17;a3bc23cb923a
407;16;Copa Cidade Alta;Boulevard Delta 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;descida rápida;18;9c68040058ac
408;16;Copa Cidade Alta;Volta Cristal RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;reta de recuperação;19;89fea90998ce
409;16;Copa Cidade Alta;Autódromo Infinito Mirror;city;Cidade neon;noite seca;Noite;chicane curta;reta de recuperação;23;b4fcceb8fdd0
410;16;Copa Cidade Alta;Serpentina Prisma Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;saída de chicane;16;7609afcea5e5
411;16;Copa Cidade Alta;Boulevard Titânio Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;hairpin forte;17;6782bab29a80
412;16;Copa Cidade Alta;Volta Trovão Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;túnel escuro;20;0223d27edbdc
413;16;Copa Cidade Alta;Autódromo Gaia Leste;city;Porto neon;chuva;Noite;retomada após túnel;entrada de chicane;20;a3c71c1c422e
414;16;Copa Cidade Alta;Serpentina Orion Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;descida rápida;20;4d78f23b4af0
415;16;Copa Cidade Alta;Boulevard Ômega GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;esses de alta velocidade;15;9e9a71f848a1
416;16;Copa Cidade Alta;Volta Ametista Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;curva longa de alta;17;83c958ffb45d
417;16;Copa Cidade Alta;Autódromo Delta Master;city;Cidade neon;noite seca;Noite;curva longa de alta;esses de alta velocidade;18;2c3553330b3c
418;16;Copa Cidade Alta;Serpentina Cristal Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;curva em caracol;19;dc6163897fd4
419;16;Copa Cidade Alta;Boulevard Infinito Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;subida cega;20;f4db0b7d897e
420;16;Copa Cidade Alta;Volta Prisma Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;ponte estreita;15;054c4a2fc239
421;16;Copa Cidade Alta;Autódromo Titânio Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;17;803df8701381
422;16;Copa Cidade Alta;Serpentina Trovão Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;túnel escuro;18;8214af0d5b84
423;16;Copa Cidade Alta;Boulevard Gaia Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;esses de alta velocidade;19;15ef9d50c7e2
424;16;Copa Cidade Alta;Volta Orion SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;entrada de chicane;20;f617bbec1c16
425;16;Copa Cidade Alta;Autódromo Ômega Arcade;city;Cidade neon;noite seca;Noite;sequência travada;entrada de chicane;16;fd014c7c8cf6
426;16;Copa Cidade Alta;Serpentina Ametista Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;descida rápida;17;b303a6150ac5
427;16;Copa Cidade Alta;Boulevard Delta Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;curva longa de alta;18;42e7654f5082
428;16;Copa Cidade Alta;Volta Cristal Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;saída de chicane;22;c3092e12315e
429;16;Copa Cidade Alta;Autódromo Infinito Oeste;city;Porto neon;chuva;Noite;reta de pit longa;esses de alta velocidade;21;89996d9684d8
430;16;Copa Cidade Alta;Serpentina Prisma 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;túnel escuro;16;d75f94152d19
431;16;Copa Cidade Alta;Boulevard Titânio RX;grass;Floresta leve;neblina;Amanhecer;S técnico;subida cega;17;ff5fcecbc504
432;16;Copa Cidade Alta;Volta Trovão Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;reta de recuperação;18;1a4be0c64a10
433;17;Rally Estrada de Vidro;Circuito Jaguar Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;esses de alta velocidade;19;41f78b9e8da2
434;17;Rally Estrada de Vidro;Grande Laço Saturno Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;esses de alta velocidade;23;b6be18f34fe6
435;17;Rally Estrada de Vidro;Ponte Coral Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;túnel escuro;14;33cb3e1cf6d1
436;17;Rally Estrada de Vidro;Arena Aurora Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;entrada de chicane;17;660d94d546d1
437;17;Rally Estrada de Vidro;Circuito Vulcano 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;curva em caracol;18;6901381f6857
438;17;Rally Estrada de Vidro;Grande Laço Relâmpago RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;hairpin forte;19;b283800fb0c7
439;17;Rally Estrada de Vidro;Ponte Centelha Mirror;city;Cidade neon;noite seca;Noite;chicane curta;túnel escuro;23;aa062a899710
440;17;Rally Estrada de Vidro;Arena Solaris Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;hairpin forte;16;8cea3dbf166e
441;17;Rally Estrada de Vidro;Circuito Diamante Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;hairpin forte;17;19ea1464fa93
442;17;Rally Estrada de Vidro;Grande Laço Atlas Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;ponte estreita;20;a48041dd382d
443;17;Rally Estrada de Vidro;Ponte Jaguar Leste;city;Porto neon;chuva;Noite;retomada após túnel;entrada de chicane;20;b612e08b4703
444;17;Rally Estrada de Vidro;Arena Saturno Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;descida rápida;20;2ef72f246628
445;17;Rally Estrada de Vidro;Circuito Coral GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;saída de chicane;15;bec19c085865
446;17;Rally Estrada de Vidro;Grande Laço Aurora Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;curva longa de alta;17;f66de0fc0485
447;17;Rally Estrada de Vidro;Ponte Vulcano Master;city;Cidade neon;noite seca;Noite;curva longa de alta;descida rápida;18;3350eef591f3
448;17;Rally Estrada de Vidro;Arena Relâmpago Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;subida cega;19;0180fc9a6057
449;17;Rally Estrada de Vidro;Circuito Centelha Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;subida cega;20;ae7c34087a1a
450;17;Rally Estrada de Vidro;Grande Laço Solaris Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;hairpin forte;15;f973ea85f4fc
451;17;Rally Estrada de Vidro;Ponte Diamante Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;17;ef294b1847b1
452;17;Rally Estrada de Vidro;Arena Atlas Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;curva longa de alta;18;8a427c4824a2
453;17;Rally Estrada de Vidro;Circuito Jaguar Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;reta de recuperação;19;663b5ddc9f12
454;17;Rally Estrada de Vidro;Grande Laço Saturno SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;entrada de chicane;20;758479b0f3b6
455;17;Rally Estrada de Vidro;Ponte Coral Arcade;city;Cidade neon;noite seca;Noite;sequência travada;saída de chicane;16;b9d87f05a4da
456;17;Rally Estrada de Vidro;Arena Aurora Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;descida rápida;17;ecb00b75b5ef
457;17;Rally Estrada de Vidro;Circuito Vulcano Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;saída de chicane;18;4a12d3d91836
458;17;Rally Estrada de Vidro;Grande Laço Relâmpago Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;saída de chicane;22;beea36db68b3
459;17;Rally Estrada de Vidro;Ponte Centelha Oeste;city;Porto neon;chuva;Noite;reta de pit longa;túnel escuro;21;8098867bf30b
460;18;Liga Porto Neon;Desafio Falésia Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;saída de chicane;16;dd8c2ec27a36
461;18;Liga Porto Neon;Anel Vector SX;city;Cidade neon;noite seca;Noite;descida rápida;esses de alta velocidade;17;3ef0d0dc7b2d
462;18;Liga Porto Neon;Passagem Atlântico Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;esses de alta velocidade;18;9bea3884f8ee
463;18;Liga Porto Neon;Túnel Mandacaru Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;curva em caracol;19;2a7f697e785d
464;18;Liga Porto Neon;Desafio Horizonte Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;reta de recuperação;23;a14354384c3a
465;18;Liga Porto Neon;Anel Cobalto Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;reta de recuperação;14;536b0d56490d
466;18;Liga Porto Neon;Passagem Cascata Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;entrada de chicane;17;c450d4d8eb3e
467;18;Liga Porto Neon;Túnel Neblina 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;saída de chicane;18;2769d98632de
468;18;Liga Porto Neon;Desafio Nômade RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;esses de alta velocidade;19;f848fdaa37fa
469;18;Liga Porto Neon;Anel Tempestade Mirror;city;Cidade neon;noite seca;Noite;chicane curta;túnel escuro;23;12c17916d659
470;18;Liga Porto Neon;Passagem Falésia Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;esses de alta velocidade;16;f8326a465e75
471;18;Liga Porto Neon;Túnel Vector Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;hairpin forte;17;d171b430039d
472;18;Liga Porto Neon;Desafio Atlântico Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;ponte estreita;20;90868588b37a
473;18;Liga Porto Neon;Anel Mandacaru Leste;city;Porto neon;chuva;Noite;retomada após túnel;entrada de chicane;20;7cf0d78fe896
474;18;Liga Porto Neon;Passagem Horizonte Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;descida rápida;20;bb690ab9a152
475;18;Liga Porto Neon;Túnel Cobalto GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;entrada de chicane;15;e09b3039d389
476;18;Liga Porto Neon;Desafio Cascata Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;curva longa de alta;17;a296d94f464f
477;18;Liga Porto Neon;Anel Neblina Master;city;Cidade neon;noite seca;Noite;curva longa de alta;saída de chicane;18;88713bc99bc6
478;18;Liga Porto Neon;Passagem Nômade Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;entrada de chicane;19;9955da48448a
479;18;Liga Porto Neon;Túnel Tempestade Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;subida cega;20;0497fd79371a
480;18;Liga Porto Neon;Desafio Falésia Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;descida rápida;15;c7a81384ea48
481;18;Liga Porto Neon;Anel Vector Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;17;5e44646e3240
482;18;Liga Porto Neon;Passagem Atlântico Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;esses de alta velocidade;18;8ff282b9eced
483;18;Liga Porto Neon;Túnel Mandacaru Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;curva longa de alta;19;8c1bf7359b6d
484;18;Liga Porto Neon;Desafio Horizonte SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;entrada de chicane;20;13f877b7149f
485;18;Liga Porto Neon;Anel Cobalto Arcade;city;Cidade neon;noite seca;Noite;sequência travada;descida rápida;16;56ab8a71be13
486;18;Liga Porto Neon;Passagem Cascata Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;descida rápida;17;145c2b3c3814
487;19;Desafio Planalto Roxo;Travessia Lunar Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;saída de chicane;19;b60795001eae
488;19;Desafio Planalto Roxo;Caminho Neon Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;túnel escuro;19;565db003e70f
489;19;Desafio Planalto Roxo;Estrada Esmeralda Prime;grass;Floresta leve;neblina;Amanhecer;trecho com relevo quebrado;saída de chicane;20;234d15ff0668
490;19;Desafio Planalto Roxo;Via Expressa Monsoon Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;reta de recuperação;16;acc86c46cca1
491;19;Desafio Planalto Roxo;Travessia Fênix SX;city;Cidade neon;noite seca;Noite;descida rápida;esses de alta velocidade;17;4bd761796fcc
492;19;Desafio Planalto Roxo;Caminho Liberdade Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;hairpin forte;18;e1e69c854b83
493;19;Desafio Planalto Roxo;Estrada Turbo Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;subida cega;19;5cbc2c008ac1
494;19;Desafio Planalto Roxo;Via Expressa Miragem Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;túnel escuro;23;6709820dedf3
495;19;Desafio Planalto Roxo;Travessia Pixel Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;túnel escuro;14;d1f89bb77742
496;19;Desafio Planalto Roxo;Caminho Eclipse Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;entrada de chicane;17;ef257ba7a11a
497;19;Desafio Planalto Roxo;Estrada Lunar 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;subida cega;18;e353ee99eb65
498;19;Desafio Planalto Roxo;Via Expressa Neon RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;reta de recuperação;19;f972debf9e23
499;19;Desafio Planalto Roxo;Travessia Esmeralda Mirror;city;Cidade neon;noite seca;Noite;chicane curta;entrada de chicane;23;5267dcf6ab4d
500;19;Desafio Planalto Roxo;Caminho Monsoon Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;curva longa de alta;17;b092d0edcb6e
501;19;Desafio Planalto Roxo;Estrada Fênix Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;subida cega;18;c95de8bece1a
502;19;Desafio Planalto Roxo;Via Expressa Liberdade Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;reta de recuperação;22;d8ee5e59f12b
503;19;Desafio Planalto Roxo;Travessia Turbo Leste;city;Porto neon;chuva;Noite;retomada após túnel;hairpin forte;21;c7ec47ab62a3
504;19;Desafio Planalto Roxo;Caminho Miragem Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;curva longa de alta;22;f08295036120
505;19;Desafio Planalto Roxo;Estrada Pixel GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;curva em caracol;17;5888629e6c0f
506;19;Desafio Planalto Roxo;Via Expressa Eclipse Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;curva em caracol;18;8229dbf5d208
507;19;Desafio Planalto Roxo;Travessia Lunar Master;city;Cidade neon;noite seca;Noite;curva longa de alta;reta de recuperação;20;2f020521c468
508;19;Desafio Planalto Roxo;Caminho Neon Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;saída de chicane;20;9666d0908943
509;19;Desafio Planalto Roxo;Estrada Esmeralda Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;esses de alta velocidade;21;0904871603f2
510;19;Desafio Planalto Roxo;Via Expressa Monsoon Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;esses de alta velocidade;17;5edd6adc7ee4
511;19;Desafio Planalto Roxo;Travessia Fênix Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;19;45fde728ea76
512;19;Desafio Planalto Roxo;Caminho Liberdade Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;esses de alta velocidade;19;d03265d291eb
513;19;Desafio Planalto Roxo;Estrada Turbo Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;saída de chicane;20;4e57d44ea5fc
514;20;Copa Tempestade Elétrica;Rally Ômega Master;grass;Campos verdes;céu limpo;Manhã;trecho de aderência baixa;descida rápida;21;46f2a19c28af
515;20;Copa Tempestade Elétrica;Sprint Ametista Extreme;mountain;Vale nevado;neblina;Noite;miolo ondulado;subida cega;17;650eed239ca1
516;20;Copa Tempestade Elétrica;Vale Delta Noite;desert;Cânion seco;céu limpo;Pôr do sol;reta de largada larga;esses de alta velocidade;20;3cb3a1e7c742
517;20;Copa Tempestade Elétrica;Rota Cristal Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;reta de recuperação;20;0ca740b0c96b
518;20;Copa Tempestade Elétrica;Rally Infinito Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;esses de alta velocidade;20;0aae864189fc
519;20;Copa Tempestade Elétrica;Sprint Prisma Prime;grass;Floresta leve;neblina;Amanhecer;trecho com relevo quebrado;subida cega;21;fa53cc15319a
520;20;Copa Tempestade Elétrica;Vale Titânio Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;reta de recuperação;17;ea6c5bceebb4
521;20;Copa Tempestade Elétrica;Rota Trovão SX;city;Cidade neon;noite seca;Noite;descida rápida;subida cega;18;a98e57bc814e
522;20;Copa Tempestade Elétrica;Rally Gaia Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;curva longa de alta;19;fd9d67e82ac7
523;20;Copa Tempestade Elétrica;Sprint Orion Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;hairpin forte;20;b529c3cdbd28
524;20;Copa Tempestade Elétrica;Vale Ômega Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;descida rápida;24;b0ca0edeae3d
525;20;Copa Tempestade Elétrica;Rota Ametista Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;entrada de chicane;17;9adbfab095e6
526;20;Copa Tempestade Elétrica;Rally Delta Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;curva em caracol;18;9e3bd309c2a6
527;20;Copa Tempestade Elétrica;Sprint Cristal 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;curva em caracol;19;646b71b750d4
528;20;Copa Tempestade Elétrica;Vale Infinito RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;reta de recuperação;20;e116676ecaf9
529;20;Copa Tempestade Elétrica;Rota Prisma Mirror;city;Cidade neon;noite seca;Noite;chicane curta;túnel escuro;25;77399f0745d8
530;20;Copa Tempestade Elétrica;Rally Titânio Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;curva longa de alta;17;73323d015320
531;20;Copa Tempestade Elétrica;Sprint Trovão Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;esses de alta velocidade;18;8462d6508854
532;20;Copa Tempestade Elétrica;Vale Gaia Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;esses de alta velocidade;22;c8067fb609f1
533;20;Copa Tempestade Elétrica;Rota Orion Leste;city;Porto neon;chuva;Noite;retomada após túnel;reta de recuperação;21;e567e04188ff
534;20;Copa Tempestade Elétrica;Rally Ômega Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;túnel escuro;22;0f80077ed586
535;20;Copa Tempestade Elétrica;Sprint Ametista GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;curva em caracol;17;663f59845958
536;20;Copa Tempestade Elétrica;Vale Delta Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;saída de chicane;18;f8029891659d
537;20;Copa Tempestade Elétrica;Rota Cristal Master;city;Cidade neon;noite seca;Noite;curva longa de alta;reta de recuperação;20;51fe6a27104f
538;20;Copa Tempestade Elétrica;Rally Infinito Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;saída de chicane;20;55dfbfb3be9f
539;20;Copa Tempestade Elétrica;Sprint Prisma Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;descida rápida;21;b83bb5e351cb
540;20;Copa Tempestade Elétrica;Vale Titânio Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;esses de alta velocidade;17;17f146b12aa8
541;21;Circuito Savana Retrô;Serpentina Atlas Pro;grass;Floresta leve;neblina;Amanhecer;curva espelhada falsa;túnel escuro;18;84b13a70e20d
542;21;Circuito Savana Retrô;Boulevard Jaguar GT;grass;Costa tropical;céu limpo;Tarde;zigue-zague rítmico;esses de alta velocidade;19;481de2795c47
543;21;Circuito Savana Retrô;Volta Saturno Endurance;city;Cidade neon;noite seca;Noite;subida cega;curva longa de alta;23;2342c451fa29
544;21;Circuito Savana Retrô;Autódromo Coral Master;grass;Campos verdes;céu limpo;Manhã;trecho de aderência baixa;curva longa de alta;21;57454fb790b8
545;21;Circuito Savana Retrô;Serpentina Aurora Extreme;mountain;Vale nevado;neblina;Noite;miolo ondulado;subida cega;17;f7a1e054d5fc
546;21;Circuito Savana Retrô;Boulevard Vulcano Noite;desert;Cânion seco;céu limpo;Pôr do sol;reta de largada larga;esses de alta velocidade;20;bbf3b48bc4d0
547;21;Circuito Savana Retrô;Volta Relâmpago Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;reta de recuperação;20;e3e388fa4abc
548;21;Circuito Savana Retrô;Autódromo Centelha Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;esses de alta velocidade;20;98d06f3a222f
549;21;Circuito Savana Retrô;Serpentina Solaris Prime;grass;Floresta leve;neblina;Amanhecer;trecho com relevo quebrado;entrada de chicane;21;b04739d4b045
